"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C3,C4,C5,C6,C7,C8","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","8","","",""
"J1","Conn_01x40","Connector_PinHeader_2.54mm:PinHeader_1x40_P2.54mm_Vertical","~","1","","",""
"J2,J3,J4","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","3","","",""
"J5","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","1","","",""
"M1","ARDUINO LEONARDO PRO MICRO","Package_DIP:DIP-24_18.0mmx34.29mm_W15.24mm_Socket","","1","","",""
"R1,R2","4.7K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"U1","74HCT14","Package_SO:SO-14_5.3x10.2mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS14","1","","",""
"U2","74LVC1G10DBV","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","1","","",""
"U3","74HCT74","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT74.pdf","1","","",""
"U4","74HCT138","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm","http://www.ti.com/lit/ds/symlink/cd74hc238.pdf","1","","",""
"U5","74AHCT125","Package_DIP:DIP-14_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74ahct125.pdf","1","","",""
"U6","74HCT4075","Package_SO:SO-14_5.3x10.2mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4071bms-72bms-75bms.pdf","1","","",""
"U7,U8","74HCT374","Package_DIP:DIP-20_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT374.pdf","2","","",""
